==> dp8rd2-1.log <==
vol=/root/gluster/dt8, bs=128k, separately_count=8, 199229440.000 Bytes/s, 190.000 MB/s, 1520.000 MB/s
vol=/root/gluster/dt8, bs=256k, separately_count=8, 249823232.000 Bytes/s, 238.250 MB/s, 1906.000 MB/s
vol=/root/gluster/dt8, bs=512k, separately_count=8, 272236544.000 Bytes/s, 259.625 MB/s, 2077.000 MB/s
vol=/root/gluster/dt8, bs=1M, separately_count=8, 299892736.000 Bytes/s, 286.000 MB/s, 2288.000 MB/s
vol=/root/gluster/dt8, bs=2M, separately_count=8, 290979840.000 Bytes/s, 277.500 MB/s, 2220.000 MB/s
vol=/root/gluster/dt8, bs=4M, separately_count=8, 290062336.000 Bytes/s, 276.625 MB/s, 2213.000 MB/s
vol=/root/gluster/dt8, bs=8M, separately_count=8, 296091648.000 Bytes/s, 282.375 MB/s, 2259.000 MB/s
vol=/root/gluster/dt8, bs=16M, separately_count=8, 277741568.000 Bytes/s, 264.875 MB/s, 2119.000 MB/s
vol=/root/gluster/dt8, bs=32M, separately_count=8, 289406976.000 Bytes/s, 276.000 MB/s, 2208.000 MB/s
vol=/root/gluster/dt8, bs=64M, separately_count=8, 286523392.000 Bytes/s, 273.250 MB/s, 2186.000 MB/s
vol=/root/gluster/dt8, bs=128M, separately_count=8, 300810240.000 Bytes/s, 286.875 MB/s, 2295.000 MB/s
vol=/root/gluster/dt8, bs=256M, separately_count=8, 301334528.000 Bytes/s, 287.375 MB/s, 2299.000 MB/s
vol=/root/gluster/dt8, bs=512M, separately_count=8, 292290560.000 Bytes/s, 278.750 MB/s, 2230.000 MB/s

==> home1-1.log <==
vol=/root/nfs/nfs-test, bs=1k, separately_count=1, 21196.800 Bytes/s, 0.020 MB/s, 0.020 MB/s
vol=/root/nfs/nfs-test, bs=2k, separately_count=1, 207872.000 Bytes/s, 0.198 MB/s, 0.198 MB/s
vol=/root/nfs/nfs-test, bs=4k, separately_count=1, 2936012.800 Bytes/s, 2.800 MB/s, 2.800 MB/s
vol=/root/nfs/nfs-test, bs=8k, separately_count=1, 318464.000 Bytes/s, 0.304 MB/s, 0.304 MB/s
vol=/root/nfs/nfs-test, bs=16k, separately_count=1, 404480.000 Bytes/s, 0.386 MB/s, 0.386 MB/s
vol=/root/nfs/nfs-test, bs=32k, separately_count=1, 1153433.600 Bytes/s, 1.100 MB/s, 1.100 MB/s
vol=/root/nfs/nfs-test, bs=64k, separately_count=1, 24746393.600 Bytes/s, 23.600 MB/s, 23.600 MB/s
vol=/root/nfs/nfs-test, bs=128k, separately_count=1, 7969177.600 Bytes/s, 7.600 MB/s, 7.600 MB/s
vol=/root/nfs/nfs-test, bs=256k, separately_count=1, 10171187.200 Bytes/s, 9.700 MB/s, 9.700 MB/s
vol=/root/nfs/nfs-test, bs=512k, separately_count=1, 10695475.200 Bytes/s, 10.200 MB/s, 10.200 MB/s
vol=/root/nfs/nfs-test, bs=1M, separately_count=1, 19503513.600 Bytes/s, 18.600 MB/s, 18.600 MB/s
vol=/root/nfs/nfs-test, bs=2M, separately_count=1, 24117248.000 Bytes/s, 23.000 MB/s, 23.000 MB/s
vol=/root/nfs/nfs-test, bs=4M, separately_count=1, 73505177.600 Bytes/s, 70.100 MB/s, 70.100 MB/s
vol=/root/nfs/nfs-test, bs=8M, separately_count=1, 66060288.000 Bytes/s, 63.000 MB/s, 63.000 MB/s
vol=/root/nfs/nfs-test, bs=16M, separately_count=1, 155189248.000 Bytes/s, 148.000 MB/s, 148.000 MB/s
vol=/root/nfs/nfs-test, bs=32M, separately_count=1, 270532608.000 Bytes/s, 258.000 MB/s, 258.000 MB/s
vol=/root/nfs/nfs-test, bs=64M, separately_count=1, 246415360.000 Bytes/s, 235.000 MB/s, 235.000 MB/s
vol=/root/nfs/nfs-test, bs=128M, separately_count=1, 351272960.000 Bytes/s, 335.000 MB/s, 335.000 MB/s
vol=/root/nfs/nfs-test, bs=256M, separately_count=1, 372244480.000 Bytes/s, 355.000 MB/s, 355.000 MB/s
vol=/root/nfs/nfs-test, bs=512M, separately_count=1, 391118848.000 Bytes/s, 373.000 MB/s, 373.000 MB/s

==> home1-8.log <==
vol=/root/nfs/nfs-test, bs=1k, separately_count=8, 235507.200 Bytes/s, 0.225 MB/s, 1.797 MB/s
vol=/root/nfs/nfs-test, bs=2k, separately_count=8, 683084.800 Bytes/s, 0.651 MB/s, 5.212 MB/s
vol=/root/nfs/nfs-test, bs=4k, separately_count=8, 1407180.800 Bytes/s, 1.342 MB/s, 10.736 MB/s
vol=/root/nfs/nfs-test, bs=8k, separately_count=8, 956902.400 Bytes/s, 0.913 MB/s, 7.301 MB/s
vol=/root/nfs/nfs-test, bs=16k, separately_count=8, 4970112.000 Bytes/s, 4.740 MB/s, 37.919 MB/s
vol=/root/nfs/nfs-test, bs=32k, separately_count=8, 777216.000 Bytes/s, 0.741 MB/s, 5.930 MB/s
vol=/root/nfs/nfs-test, bs=64k, separately_count=8, 6130432.000 Bytes/s, 5.846 MB/s, 46.771 MB/s
vol=/root/nfs/nfs-test, bs=128k, separately_count=8, 3486515.200 Bytes/s, 3.325 MB/s, 26.600 MB/s
vol=/root/nfs/nfs-test, bs=256k, separately_count=8, 2621440.000 Bytes/s, 2.500 MB/s, 20.000 MB/s
vol=/root/nfs/nfs-test, bs=512k, separately_count=8, 11809587.200 Bytes/s, 11.262 MB/s, 90.100 MB/s
vol=/root/nfs/nfs-test, bs=1M, separately_count=8, 16541286.400 Bytes/s, 15.775 MB/s, 126.200 MB/s
vol=/root/nfs/nfs-test, bs=2M, separately_count=8, 24562892.800 Bytes/s, 23.425 MB/s, 187.400 MB/s
vol=/root/nfs/nfs-test, bs=4M, separately_count=8, 52572979.200 Bytes/s, 50.138 MB/s, 401.100 MB/s
vol=/root/nfs/nfs-test, bs=8M, separately_count=8, 46517452.800 Bytes/s, 44.362 MB/s, 354.900 MB/s
vol=/root/nfs/nfs-test, bs=16M, separately_count=8, 54670131.200 Bytes/s, 52.138 MB/s, 417.100 MB/s
vol=/root/nfs/nfs-test, bs=32M, separately_count=8, 76218368.000 Bytes/s, 72.688 MB/s, 581.500 MB/s
vol=/root/nfs/nfs-test, bs=64M, separately_count=8, 77004800.000 Bytes/s, 73.438 MB/s, 587.500 MB/s
vol=/root/nfs/nfs-test, bs=128M, separately_count=8, 68485120.000 Bytes/s, 65.312 MB/s, 522.500 MB/s
vol=/root/nfs/nfs-test, bs=256M, separately_count=8, 71290060.800 Bytes/s, 67.987 MB/s, 543.900 MB/s
vol=/root/nfs/nfs-test, bs=512M, separately_count=8, 65667072.000 Bytes/s, 62.625 MB/s, 501.000 MB/s
